combo,mean_f1,std_f1
"('B10', 'B11', 'B5', 'B1', 'B6')",0.6560359565956085,0.0022469034364538273
"('B10', 'B4', 'B2', 'B6', 'B9')",0.6560283764818372,0.004172231894800283
"('B10', 'B4', 'B1', 'B6', 'B7')",0.6559473797339357,0.003909251062588174
"('B11', 'B5', 'B4', 'B1', 'B9')",0.6557642991512457,0.001816650585926108
"('B10', 'B4', 'B1', 'B7', 'B9')",0.6555224420262852,0.003966532245754957
"('B11', 'B5', 'B4', 'B7', 'B9')",0.6554464945137505,0.005069345521503212
"('B10', 'B11', 'B5', 'B6', 'B8')",0.6552141451670228,0.0024188346566513725
"('B11', 'B4', 'B1', 'B6', 'B9')",0.6545210787264764,0.0016212174771473267
"('B11', 'B4', 'B3', 'B1', 'B7')",0.6544658218372307,0.0021876118384240224
"('B10', 'B4', 'B2', 'B1', 'B9')",0.6542799547530554,0.004011866290999163
"('B10', 'B11', 'B5', 'B2', 'B8')",0.6541053152580872,0.002220461060320019
"('B11', 'B5', 'B3', 'B6', 'B9')",0.6540848113741186,0.004153142438040977
"('B11', 'B4', 'B3', 'B1', 'B9')",0.6540109135386074,0.0034853475385601116
"('B11', 'B4', 'B3', 'B1', 'B8')",0.6539652408035198,0.0029294030461971053
"('B10', 'B5', 'B3', 'B6', 'B9')",0.6538715355931638,0.004870137203085673
"('B10', 'B5', 'B1', 'B6', 'B9')",0.6537266198026312,0.004982655354799408
"('B10', 'B5', 'B2', 'B6', 'B9')",0.6536693591271531,0.0024331734670610078
"('B11', 'B4', 'B3', 'B2', 'B6')",0.6531326113287155,0.0013798449065299952
"('B10', 'B11', 'B4', 'B7', 'B8')",0.652917546092301,0.004703285629875257
"('B10', 'B5', 'B3', 'B1', 'B7')",0.6527295058882886,0.004120945669754106
"('B10', 'B4', 'B2', 'B1', 'B8')",0.6523403661914581,0.004098411297300941
"('B10', 'B11', 'B3', 'B1', 'B9')",0.652142643714066,0.0010032719598505669
"('B10', 'B4', 'B1', 'B6', 'B8')",0.6517164758817602,0.004389617292676199
"('B11', 'B4', 'B3', 'B6', 'B8')",0.6516765709651128,0.004107306060496633
"('B10', 'B5', 'B2', 'B1', 'B6')",0.6515540341501517,0.005220129879118208
"('B10', 'B4', 'B3', 'B6', 'B7')",0.651227776099888,0.007144117446333709
"('B10', 'B5', 'B2', 'B1', 'B7')",0.6509653700493678,0.003935543905366303
"('B10', 'B4', 'B3', 'B6', 'B8')",0.6508718967394477,0.006514861486509277
"('B10', 'B11', 'B5', 'B1', 'B8')",0.6507803987128314,0.0007107177039481542
